Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Charlestown,792569.0,2018,7,128,22,2,5,medium
Charlestown,793847.0,2018,8,158,19,4,10,medium
Charlestown,792057.0,2018,9,146,15,12,1,medium
Charlestown,790327.0,2018,10,184,26,5,4,medium
Charlestown,792097.0,2018,11,117,15,12,3,medium
Charlestown,794643.0,2018,12,155,20,8,4,medium
Charlestown,798848.0,2019,9,8,0,0,0,medium
Charlestown,800110.0,2019,10,166,18,6,8,high
Charlestown,798603.0,2019,11,155,8,4,8,medium
Charlestown,797536.0,2019,12,145,10,4,9,medium
Charlestown,797496.0,2020,1,127,11,2,9,medium
Charlestown,802627.0,2020,2,117,6,4,7,high
Charlestown,807735.0,2020,3,123,9,4,5,high
Charlestown,811619.0,2020,4,72,6,2,1,high
Charlestown,812184.0,2020,5,60,4,0,3,high
Charlestown,808854.0,2020,6,113,8,2,6,high
Charlestown,807505.0,2020,7,121,7,0,12,high
Charlestown,808900.0,2020,8,158,10,2,15,high
Charlestown,816241.0,2020,9,119,10,0,6,high
Charlestown,822480.0,2020,10,131,9,1,7,high
Charlestown,826275.0,2020,11,158,12,1,7,high
Charlestown,826775.0,2020,12,138,8,3,7,high
Charlestown,826734.0,2021,1,101,5,2,8,high
Charlestown,829289.0,2021,2,101,7,2,7,high
Charlestown,828504.0,2021,3,112,7,0,4,high
Charlestown,832010.0,2021,4,115,3,4,3,high
Charlestown,832794.0,2021,5,127,10,2,7,high
Charlestown,838952.0,2021,6,157,8,7,7,high
Charlestown,844167.0,2021,7,112,12,0,5,high
Charlestown,849365.0,2021,8,113,5,1,7,high
Charlestown,849988.0,2021,9,92,6,2,4,high
Dorchester,375282.0,2015,6,1022,142,50,69,low
Dorchester,381018.0,2015,7,2097,352,103,117,low
Dorchester,385264.0,2015,8,2006,316,87,119,low
Dorchester,390753.0,2015,9,1920,292,94,95,low
Dorchester,393675.0,2015,10,1932,265,128,101,low
Dorchester,396268.0,2015,11,1864,304,96,84,low
Dorchester,400262.0,2015,12,1979,303,80,100,low
Dorchester,406585.0,2016,1,2035,284,89,107,low
Dorchester,409204.0,2016,2,1701,254,109,60,low
Dorchester,412811.0,2016,3,1951,301,129,87,low
Dorchester,413432.0,2016,4,2102,361,101,96,low
Dorchester,417244.0,2016,5,2064,349,87,110,low
Dorchester,421273.0,2016,6,1975,324,121,88,low
Dorchester,424953.0,2016,7,2017,329,71,99,low
Dorchester,428770.0,2016,8,2093,307,57,93,low
Dorchester,431330.0,2016,9,1949,253,78,79,low
Dorchester,434519.0,2016,10,2020,307,64,88,low
Dorchester,439602.0,2016,11,1856,264,80,68,low
Dorchester,442366.0,2016,12,1867,282,40,85,low
Dorchester,445479.0,2017,1,1890,299,68,73,low
Dorchester,449272.0,2017,2,1787,255,72,78,low
Dorchester,455108.0,2017,3,1889,264,114,82,low
Dorchester,462851.0,2017,4,1875,285,68,82,low
Dorchester,467006.0,2017,5,2088,337,76,96,low
Dorchester,470865.0,2017,6,2009,309,54,97,low
Dorchester,473855.0,2017,7,2001,284,66,76,low
Dorchester,478792.0,2017,8,2144,295,80,86,low
Dorchester,482233.0,2017,9,2028,289,70,63,low
Dorchester,484756.0,2017,10,2025,317,57,106,low
Dorchester,486391.0,2017,11,1790,250,60,85,low
Dorchester,488502.0,2017,12,1802,235,52,79,low
Dorchester,491436.0,2018,1,1777,255,59,62,low
Dorchester,495666.0,2018,2,1551,244,77,59,low
Dorchester,500448.0,2018,3,1808,233,104,71,medium
